feature,cohens_d,abs_d,mwu_p,bonf_sig
V2_ST40,1.0825419425964355,1.0825419425964355,1.9111256088950868e-13,True
V1_ST40,0.999010443687439,0.999010443687439,1.669059779274562e-09,True
V4_QRS_dur,0.896074526706097,0.896074526706097,1.3111010661506428e-12,True
V3_QRS_dur,0.8954563668721255,0.8954563668721255,1.3455942324097511e-11,True
V2_QRS_dur,0.873342848946726,0.873342848946726,1.1093556922902389e-10,True
V2_T_amp,-0.8457053303718567,0.8457053303718567,4.078574278310043e-08,True
V2_J_amp,0.8442992568016052,0.8442992568016052,3.2237064580276087e-12,True
aVF_ST80,0.8334446549415588,0.8334446549415588,5.528898228135404e-09,True
V6_QRS_dur,0.7966147948198751,0.7966147948198751,4.394281368210721e-11,True
aVF_ST_slope,0.779145359992981,0.779145359992981,1.2432263929440523e-07,True
aVF_QRS_dur,0.7621583154640139,0.7621583154640139,3.3073739682072903e-10,True
I_QRS_dur,0.738903116564607,0.738903116564607,4.965089257545952e-09,True
V5_QRS_dur,0.7249911740313583,0.7249911740313583,7.885355182831595e-12,True
II_QRS_dur,0.7051415220459935,0.7051415220459935,3.5472414078948013e-10,True
aVR_QRS_dur,0.6710269939938227,0.6710269939938227,3.688534713974224e-07,True
aVR_R_amp,0.6503885984420776,0.6503885984420776,1.0803680652315961e-06,True
aVR_S_amp,0.6463907957077026,0.6463907957077026,1.171354256257473e-06,True
II_R_amp,-0.6117163896560669,0.6117163896560669,1.5372665984614287e-06,True
III_ST80,0.6052582263946533,0.6052582263946533,0.00021156664297450334,True
II_ST80,0.5906515717506409,0.5906515717506409,8.679500638208992e-07,True
aVR_J_to_R_ratio,0.589568555355072,0.589568555355072,5.2867817430524155e-06,True
V1_QRS_dur,0.5880757195893347,0.5880757195893347,6.745583304488172e-05,True
V6_ST80,0.5761972069740295,0.5761972069740295,8.894955499272328e-06,True
I_ST40,0.5757597088813782,0.5757597088813782,2.0967618183931336e-05,True
V1_T_amp,-0.5631682276725769,0.5631682276725769,0.00010959721839753911,True
II_ST_slope,0.5624583959579468,0.5624583959579468,4.5390452214633115e-06,True
III_QRS_dur,0.552857309452837,0.552857309452837,0.0001404021086621337,True
III_ST_slope,0.5499129295349121,0.5499129295349121,1.5278468481483287e-06,True
V2_J_to_R_ratio,0.5465154647827148,0.5465154647827148,5.757168830208825e-13,True
aVF_R_amp,-0.5358670353889465,0.5358670353889465,2.525260060792789e-05,True
V4_ST80,0.5357482433319092,0.5357482433319092,0.0010402161860838532,False
I_T_amp,-0.5187674164772034,0.5187674164772034,0.00022314078523777425,True
aVF_ST40,0.5153502821922302,0.5153502821922302,0.0003963405033573508,True
V6_ST_slope,0.5115096569061279,0.5115096569061279,0.00015852278738748282,True
V2_ST_slope,-0.5064787864685059,0.5064787864685059,5.062404966338363e-07,True
V4_ST40,0.4950439929962158,0.4950439929962158,0.0002822974929586053,True
V1_S_amp,0.4918496608734131,0.4918496608734131,0.00015389415784738958,True
V1_R_amp,0.4876851439476013,0.4876851439476013,0.00017235861741937697,True
V6_R_amp,-0.4851749539375305,0.4851749539375305,4.653535506804474e-05,True
I_J_amp,0.47414693236351013,0.47414693236351013,3.8239606510614976e-05,True
V3_T_amp,-0.4722907841205597,0.4722907841205597,0.0012583010829985142,False
V5_ST80,0.46003785729408264,0.46003785729408264,0.0003193682641722262,True
V3_ST40,0.4298250079154968,0.4298250079154968,0.017452199012041092,False
III_R_amp,-0.4294339716434479,0.4294339716434479,0.0015438448172062635,False
V4_J_amp,0.4199579656124115,0.4199579656124115,0.00446936534717679,False
V3_J_amp,0.4163946509361267,0.4163946509361267,0.0032037501223385334,False
II_ST40,0.41442421078681946,0.41442421078681946,0.00040379504207521677,True
V5_R_amp,-0.40824925899505615,0.40824925899505615,0.0009742522379383445,False
V6_ST40,0.4004967212677002,0.4004967212677002,0.0009573279530741274,False
V4_R_amp,-0.3894205391407013,0.3894205391407013,0.0057045044377446175,False
aVL_T_amp,-0.37350893020629883,0.37350893020629883,0.001603615120984614,False
aVF_J_to_R_ratio,-0.36071518063545227,0.36071518063545227,0.010350087657570839,False
V1_J_to_R_ratio,0.3531699776649475,0.3531699776649475,1.930757491663826e-07,True
I_ST80,0.346932053565979,0.346932053565979,0.0008651834214106202,False
V5_ST_slope,0.34557661414146423,0.34557661414146423,0.002358607714995742,False
aVL_J_to_R_ratio,0.3412035405635834,0.3412035405635834,0.021964455023407936,False
V2_R_amp,0.3411177396774292,0.3411177396774292,0.002507179742679,False
V3_ST80,0.3383050560951233,0.3383050560951233,0.04982030391693115,False
V2_ST80,0.3371712267398834,0.3371712267398834,0.0011297020828351378,False
V4_S_amp,-0.3297414481639862,0.3297414481639862,0.032373663038015366,False
V1_J_amp,0.32557839155197144,0.32557839155197144,0.0002743352379184216,True
HR,0.3148467142638988,0.3148467142638988,0.12949696122077498,False
II_J_to_R_ratio,-0.31232115626335144,0.31232115626335144,0.009953755885362625,False
aVR_ST_slope,-0.28870299458503723,0.28870299458503723,0.008378035388886929,False
I_J_to_R_ratio,0.28564345836639404,0.28564345836639404,0.0008883938426151872,False
V5_ST40,0.28209060430526733,0.28209060430526733,0.017278464511036873,False
aVL_ST40,0.280374139547348,0.280374139547348,0.008197645656764507,False
I_R_amp,-0.27904200553894043,0.27904200553894043,0.024815350770950317,False
aVR_J_amp,0.2642879784107208,0.2642879784107208,0.012079451233148575,False
III_T_amp,0.26267296075820923,0.26267296075820923,0.008812818676233292,False
RR_median,-0.26119554406035966,0.26119554406035966,0.12996416420653845,False
V5_S_amp,-0.2574549615383148,0.2574549615383148,0.03024912439286709,False
I_S_amp,-0.2533199191093445,0.2533199191093445,0.048544783145189285,False
aVR_T_amp,0.24404363334178925,0.24404363334178925,0.049677204340696335,False
V2_S_amp,0.24393218755722046,0.24393218755722046,0.08533401787281036,False
III_S_amp,-0.23439401388168335,0.23439401388168335,0.17333754897117615,False
aVR_ST40,0.2337757796049118,0.2337757796049118,0.08827659487724304,False
aVL_R_amp,0.23372019827365875,0.23372019827365875,0.1269359588623047,False
V1_ST80,0.22967460751533508,0.22967460751533508,0.18365231156349182,False
aVR_ST80,-0.22922730445861816,0.22922730445861816,0.145331472158432,False
aVL_QRS_dur,0.22639777448496218,0.22639777448496218,0.010249349425333234,False
V1_ST_slope,-0.22472435235977173,0.22472435235977173,0.0006272041937336326,False
III_ST40,0.22430187463760376,0.22430187463760376,0.20431526005268097,False
V6_J_amp,0.22312557697296143,0.22312557697296143,0.06597936898469925,False
II_J_amp,0.21893088519573212,0.21893088519573212,0.08578149229288101,False
V4_T_amp,-0.20087888836860657,0.20087888836860657,0.10267419368028641,False
aVL_S_amp,0.1992151439189911,0.1992151439189911,0.19441485404968262,False
aVL_ST_slope,-0.19835114479064941,0.19835114479064941,0.03139260783791542,False
V6_J_to_R_ratio,-0.18342386186122894,0.18342386186122894,0.11040563136339188,False
V3_S_amp,-0.1829223334789276,0.1829223334789276,0.11571557074785233,False
aVF_S_amp,-0.16932803392410278,0.16932803392410278,0.16420625150203705,False
V5_J_amp,0.1691853404045105,0.1691853404045105,0.11628600209951401,False
II_S_amp,-0.16726289689540863,0.16726289689540863,0.130337193608284,False
aVF_J_amp,0.15913932025432587,0.15913932025432587,0.3280813992023468,False
V3_ST_slope,-0.15000326931476593,0.15000326931476593,0.12390419840812683,False
aVL_J_amp,0.14347721636295319,0.14347721636295319,0.14979977905750275,False
aVL_ST80,-0.12085351347923279,0.12085351347923279,0.4701279103755951,False
I_ST_slope,-0.11586421728134155,0.11586421728134155,0.25933170318603516,False
V4_ST_slope,0.11331532895565033,0.11331532895565033,0.268262654542923,False
III_J_amp,-0.10221408307552338,0.10221408307552338,0.34038859605789185,False
V4_J_to_R_ratio,0.1003429964184761,0.1003429964184761,0.10529006272554398,False
V5_T_amp,-0.09918998181819916,0.09918998181819916,0.2817763686180115,False
V6_S_amp,-0.09888479858636856,0.09888479858636856,0.08160622417926788,False
V5_J_to_R_ratio,0.08162042498588562,0.08162042498588562,0.0988476425409317,False
V6_T_amp,-0.07247163355350494,0.07247163355350494,0.33174291253089905,False
III_J_to_R_ratio,-0.05860178545117378,0.05860178545117378,0.0013078136835247278,False
aVF_T_amp,0.0552857331931591,0.0552857331931591,0.4823046624660492,False
RR_std,-0.03670065081540005,0.03670065081540005,0.0008024348848355506,False
V3_R_amp,0.033820148557424545,0.033820148557424545,0.6962898373603821,False
V3_J_to_R_ratio,-0.013543142937123775,0.013543142937123775,0.010684739798307419,False
II_T_amp,0.00833789724856615,0.00833789724856615,0.871569037437439,False
